slug,title,description,details,imgUrl,price,discount,mrp,isMember,isAuthDealer,isFeaturedMember,membershipLevel,shopName,isDoorstepDelivery,isDeliveryFree,isTopAd,isUrgentAd,timeStamp,category,isVerified,isJobAd,location,adType,isLocalJob
microphone-boya-by-m1-best-quality-for-sale-sylhet,Microphone Boya by M1 Best Quality,"Sylhet, Musical Instruments",,https://i.bikroy-st.com/microphone-boya-by-m1-best-quality-for-sale-sylhet/c022a72d-3541-484a-a45a-8a77a259aa44/142/107/cropped.jpg,"Tk 1,000",0,0,False,False,False,free,Tista Electronics and Computer,False,False,False,False,9 hours, Musical Instruments,False,False,Sylhet,for_sale,False
block-n4-katha-north-facing-plot-urgent-sell-near-300-fit-highway-for-sale-dhaka,"Block-N,4 Katha North facing Plot Urgent Sell Near 300 fit Highway","Dhaka, Land For Sale",4.0 katha,https://i.bikroy-st.com/block-n4-katha-north-facing-plot-urgent-sell-near-300-fit-highway-for-sale-dhaka/58937094-213c-4163-88a8-fe02c3c1e913/142/107/cropped.jpg,"Tk 7,200,000 per katha",0,0,True,False,False,premium,Living Paradise,False,False,False,False,9 hours, Land For Sale,False,False,Dhaka,for_sale,False
giribaaj-kbutr-ayaaddaaltt-semi-ayaaddaaltt-for-sale-sylhet,"গিরিবাজ কবুতর অ্যাডাল্ট, সেমি অ্যাডাল্ট","Sylhet, Pets",,https://i.bikroy-st.com/giribaaj-kbutr-ayaaddaaltt-semi-ayaaddaaltt-for-sale-sylhet/56fe471e-ad06-40b7-a23b-8c9054d4d2de/142/107/cropped.jpg,Tk 350,0,0,False,False,False,free,,False,False,False,False,9 hours, Pets,False,False,Sylhet,for_sale,False
laptop-cooling-fan-for-sale-dhaka-118,laptop cooling fan,"Dhaka, Laptop & Computer Accessories",,https://i.bikroy-st.com/laptop-cooling-fan-for-sale-dhaka-118/f75e31d2-306f-462a-a8b7-4d294445a64e/142/107/cropped.jpg,Tk 330,0,0,False,False,False,free,,False,False,False,False,9 hours, Laptop & Computer Accessories,False,False,Dhaka,for_sale,False
ttaakaar-drkaar-taai-bikri-krb-for-sale-dhaka-221,Bicycle for Sale,"Dhaka, Bicycles",,https://i.bikroy-st.com/ttaakaar-drkaar-taai-bikri-krb-for-sale-dhaka-221/c593a3f5-2697-4ac8-b915-138a841bbe3e/142/107/cropped.jpg,"Tk 9,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Bicycles,False,False,Dhaka,for_sale,False
apple-iphone-6-plus-bandarnarayanganj-used-for-sale-dhaka-division,Apple iPhone 6 Plus . (Used),"Dhaka Division, Mobile Phones",,https://i.bikroy-st.com/apple-iphone-6-plus-bandarnarayanganj-used-for-sale-dhaka-division/54ddac99-eb54-48c0-8431-5fe15ab0a172/142/107/cropped.jpg,"Tk 9,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Dhaka Division,for_sale,False
apple-iphone-6-plus-used-for-sale-dhaka-9634,Apple iPhone 6 Plus (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/apple-iphone-6-plus-used-for-sale-dhaka-9634/8cbff28e-9276-41aa-b0c3-645c8d5d69f2/142/107/cropped.jpg,"Tk 10,500",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Dhaka,for_sale,False
cittaagn-sgun-for-sale-dhaka,চিটাগং সগুন bed,"Dhaka, Bedroom Furniture",,https://i.bikroy-st.com/cittaagn-sgun-for-sale-dhaka/bcbbee31-701a-47a1-b1e3-f0ace3e29510/142/107/cropped.jpg,"Tk 5,800",0,0,False,False,False,free,,False,False,False,False,9 hours, Bedroom Furniture,False,False,Dhaka,for_sale,False
4gb-ram-500gb-hdd-all-ok-laptop-only-9500tk-with-warenty-for-sale-dhaka,"4gb ram, 500gb hdd, all ok laptop only 9500tk..! with warenty!!","Dhaka, Laptops",,https://i.bikroy-st.com/4gb-ram-500gb-hdd-all-ok-laptop-only-9500tk-with-warenty-for-sale-dhaka/5fe961ae-fdd5-43c7-8e49-6b5bed276ab6/142/107/cropped.jpg,"Tk 9,500",0,0,True,False,False,plus,Rainbow electronics,False,False,False,False,9 hours, Laptops,False,False,Dhaka,for_sale,False
simply-straigst-for-sale-dhaka,Hair Straightner,"Dhaka, Beauty & Personal Care",,https://i.bikroy-st.com/simply-straigst-for-sale-dhaka/edf402da-d382-4fdb-9eca-5be0e24e8acc/142/107/cropped.jpg,Tk 700,0,0,False,False,False,free,,False,False,False,False,9 hours, Beauty & Personal Care,False,False,Dhaka,for_sale,False
arjinaal-phniks-saaikel-for-sale-khulna-1,অরজিনাল ফনিক্স সাইকেল,"Khulna, Bicycles",,https://i.bikroy-st.com/arjinaal-phniks-saaikel-for-sale-khulna-1/887f9dc5-2210-4de8-8b61-4e8be0404434/142/107/cropped.jpg,"Tk 5,500",0,0,False,False,False,free,,False,False,False,False,9 hours, Bicycles,False,False,Khulna,for_sale,False
tronix-i1-black-wireless-mouse-for-sale-rangpur,Tronix i1 Black Wireless Mouse,"Rangpur, Laptop & Computer Accessories",,https://i.bikroy-st.com/tronix-i1-black-wireless-mouse-for-sale-rangpur/90d68f81-06b2-49db-a9a2-aed73bf4f5bf/142/107/cropped.jpg,Tk 360,0,0,False,False,False,free,,False,False,False,False,9 hours, Laptop & Computer Accessories,False,False,Rangpur,for_sale,False
apple-iphone-13-pro-max-maasttaar-kpi-phon-used-for-sale-barishal-division,Apple iPhone 13 Pro Max মাস্টার কপি ফোন (Used),"Barishal Division, Mobile Phones",,https://i.bikroy-st.com/apple-iphone-13-pro-max-maasttaar-kpi-phon-used-for-sale-barishal-division/43fa1079-09a7-45cf-9b8c-451c77933481/142/107/cropped.jpg,"Tk 12,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Barishal Division,for_sale,False
